AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0114KG70096,BARKING & DAGENHAM,16,548570,183490,1,1 Driver/Rider,2 Female,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70096,BARKING & DAGENHAM,16,548570,183490,2,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70097,BARKING & DAGENHAM,16,548690,185040,1,2 Passenger,1 Male,25-59,58,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70098,BARKING & DAGENHAM,16,549650,183750,1,3 Pedestrian,1 Male,16-24,20,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0114KG70099,BARKING & DAGENHAM,16,548960,184460,1,3 Pedestrian,2 Female,0-15,10,1,2 Serious,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114KG70100,BARKING & DAGENHAM,16,546960,183630,1,1 Driver/Rider,2 Female,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70100,BARKING & DAGENHAM,16,546960,183630,2,2 Passenger,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70101,BARKING & DAGENHAM,16,547650,184410,1,1 Driver/Rider,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70102,BARKING & DAGENHAM,16,546980,183850,1,3 Pedestrian,2 Female,60+,74,1,2 Serious,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0114KG70103,BARKING & DAGENHAM,16,548660,189060,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70104,BARKING & DAGENHAM,16,548480,189070,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70105,BARKING & DAGENHAM,16,548980,186880,1,2 Passenger,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70105,BARKING & DAGENHAM,16,548980,186880,2,2 Passenger,2 Female,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70106,BARKING & DAGENHAM,16,549520,186970,1,3 Pedestrian,2 Female,16-24,17,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0114KG70108,BARKING & DAGENHAM,16,544870,183800,1,3 Pedestrian,2 Female,0-15,15,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114KG70109,BARKING & DAGENHAM,16,550230,185190,1,3 Pedestrian,1 Male,60+,80,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114KG70111,BARKING & DAGENHAM,16,547770,186090,1,3 Pedestrian,1 Male,25-59,42,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0114KG70113,BARKING & DAGENHAM,16,546980,183610,1,1 Driver/Rider,2 Female,60+,63,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70114,BARKING & DAGENHAM,16,548760,185010,1,1 Driver/Rider,1 Male,60+,65,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70115,BARKING & DAGENHAM,16,549070,183830,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70117,BARKING & DAGENHAM,16,548460,186500,1,3 Pedestrian,1 Male,16-24,17,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114KG70119,BARKING & DAGENHAM,16,548260,186620,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70120,BARKING & DAGENHAM,16,544660,184580,1,2 Passenger,2 Female,60+,88,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114KG70121,BARKING & DAGENHAM,16,545690,184820,2,2 Passenger,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70121,BARKING & DAGENHAM,16,545690,184820,1,2 Passenger,1 Male,60+,75,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70122,BARKING & DAGENHAM,16,548240,185920,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70122,BARKING & DAGENHAM,16,548240,185920,2,2 Passenger,2 Female,0-15,10,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70122,BARKING & DAGENHAM,16,548240,185920,3,2 Passenger,2 Female,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70123,BARKING & DAGENHAM,16,550900,186720,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70124,BARKING & DAGENHAM,16,549120,182760,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70125,BARKING & DAGENHAM,16,549920,184390,1,3 Pedestrian,2 Female,25-59,25,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114KG70126,BARKING & DAGENHAM,16,544640,183120,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70127,BARKING & DAGENHAM,16,548130,189350,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70128,BARKING & DAGENHAM,16,549620,186300,1,3 Pedestrian,2 Female,25-59,42,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0114KG70129,BARKING & DAGENHAM,16,547300,186870,1,3 Pedestrian,1 Male,25-59,34,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114KG70130,BARKING & DAGENHAM,16,548990,186820,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70131,BARKING & DAGENHAM,16,547620,183850,2,1 Driver/Rider,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70131,BARKING & DAGENHAM,16,547620,183850,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70132,BARKING & DAGENHAM,16,544370,184240,1,3 Pedestrian,1 Male,25-59,55,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114KG70133,BARKING & DAGENHAM,16,543580,183940,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70135,BARKING & DAGENHAM,16,546120,183600,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70135,BARKING & DAGENHAM,16,546120,183600,2,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70135,BARKING & DAGENHAM,16,546120,183600,3,1 Driver/Rider,1 Male,60+,63,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70135,BARKING & DAGENHAM,16,546120,183600,4,2 Passenger,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70136,BARKING & DAGENHAM,16,545490,183050,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114KG70137,BARKING & DAGENHAM,16,548820,186280,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70138,BARKING & DAGENHAM,16,546430,183730,1,3 Pedestrian,2 Female,25-59,39,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114KG70141,BARKING & DAGENHAM,16,549330,184010,1,3 Pedestrian,1 Male,25-59,49,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114KG70143,BARKING & DAGENHAM,16,548480,190520,1,2 Passenger,2 Female,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114KG70144,BARKING & DAGENHAM,16,547720,186900,2,2 Passenger,2 Female,60+,61,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70144,BARKING & DAGENHAM,16,547720,186900,3,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70144,BARKING & DAGENHAM,16,547720,186900,1,2 Passenger,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70145,BARKING & DAGENHAM,16,544930,184470,1,2 Passenger,2 Female,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70146,BARKING & DAGENHAM,16,549090,183830,1,1 Driver/Rider,1 Male,60+,77,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70147,BARKING & DAGENHAM,16,544880,183810,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70148,BARKING & DAGENHAM,16,544630,183760,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70149,BARKING & DAGENHAM,16,543960,184420,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70150,BARKING & DAGENHAM,16,543900,184110,1,2 Passenger,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70151,BARKING & DAGENHAM,16,548560,183490,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70152,BARKING & DAGENHAM,16,549510,183880,1,1 Driver/Rider,2 Female,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70153,BARKING & DAGENHAM,16,546610,184510,2,1 Driver/Rider,2 Female,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70153,BARKING & DAGENHAM,16,546610,184510,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70154,BARKING & DAGENHAM,16,545810,183950,1,1 Driver/Rider,2 Female,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70155,BARKING & DAGENHAM,16,543580,183950,2,1 Driver/Rider,1 Male,60+,82,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70155,BARKING & DAGENHAM,16,543580,183950,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70156,BARKING & DAGENHAM,16,547620,183850,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70157,BARKING & DAGENHAM,16,549920,185830,1,3 Pedestrian,2 Female,25-59,37,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114KG70158,BARKING & DAGENHAM,16,548470,190140,1,1 Driver/Rider,2 Female,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70158,BARKING & DAGENHAM,16,548470,190140,2,2 Passenger,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70159,BARKING & DAGENHAM,16,546230,183690,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70160,BARKING & DAGENHAM,16,545470,183380,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70161,BARKING & DAGENHAM,16,545990,183900,3,2 Passenger,2 Female,0-15,8,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70161,BARKING & DAGENHAM,16,545990,183900,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70161,BARKING & DAGENHAM,16,545990,183900,2,2 Passenger,1 Male,0-15,13,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70162,BARKING & DAGENHAM,16,544460,184350,1,2 Passenger,1 Male,60+,80,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114KG70163,BARKING & DAGENHAM,16,546200,183130,1,3 Pedestrian,1 Male,0-15,8,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114KG70166,BARKING & DAGENHAM,16,549080,183840,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70168,BARKING & DAGENHAM,16,543820,184110,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70169,BARKING & DAGENHAM,16,548070,185440,1,3 Pedestrian,2 Female,0-15,12,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0114KG70171,BARKING & DAGENHAM,16,546840,184740,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70172,BARKING & DAGENHAM,16,548570,185730,1,1 Driver/Rider,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70173,BARKING & DAGENHAM,16,547330,187010,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70174,BARKING & DAGENHAM,16,546220,183700,1,2 Passenger,1 Male,0-15,14,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70175,BARKING & DAGENHAM,16,549720,185020,1,3 Pedestrian,2 Female,0-15,11,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
0114KG70178,BARKING & DAGENHAM,16,547230,186470,1,1 Driver/Rider,2 Female,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70178,BARKING & DAGENHAM,16,547230,186470,2,2 Passenger,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70179,BARKING & DAGENHAM,16,548620,184170,1,1 Driver/Rider,1 Male,60+,75,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70180,BARKING & DAGENHAM,16,547540,185350,1,3 Pedestrian,2 Female,16-24,21,1,2 Serious,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0114KG70181,BARKING & DAGENHAM,16,545500,182780,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70182,BARKING & DAGENHAM,16,545150,183290,1,1 Driver/Rider,1 Male,25-59,31,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70183,BARKING & DAGENHAM,16,547690,185790,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70184,BARKING & DAGENHAM,16,545190,183460,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70185,BARKING & DAGENHAM,16,549690,186370,1,2 Passenger,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70186,BARKING & DAGENHAM,16,548970,184900,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70188,BARKING & DAGENHAM,16,546430,183730,1,3 Pedestrian,1 Male,25-59,34,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0114KG70189,BARKING & DAGENHAM,16,545480,183930,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70190,BARKING & DAGENHAM,16,548050,189500,1,3 Pedestrian,1 Male,0-15,13,1,2 Serious,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
0114KG70191,BARKING & DAGENHAM,16,545730,183950,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70192,BARKING & DAGENHAM,16,548440,188480,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70193,BARKING & DAGENHAM,16,544710,184640,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70194,BARKING & DAGENHAM,16,544710,183750,1,3 Pedestrian,1 Male,0-15,12,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114KG70195,BARKING & DAGENHAM,16,547800,185820,1,1 Driver/Rider,2 Female,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70197,BARKING & DAGENHAM,16,544410,184650,1,2 Passenger,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70197,BARKING & DAGENHAM,16,544410,184650,2,2 Passenger,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70198,BARKING & DAGENHAM,16,546440,183740,1,1 Driver/Rider,1 Male,16-24,23,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70199,BARKING & DAGENHAM,16,547510,186890,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70200,BARKING & DAGENHAM,16,548130,188140,1,3 Pedestrian,1 Male,60+,67,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114KG70201,BARKING & DAGENHAM,16,548440,189000,1,1 Driver/Rider,2 Female,25-59,30,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0114KG70202,BARKING & DAGENHAM,16,548920,187000,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70204,BARKING & DAGENHAM,16,550230,185220,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70205,BARKING & DAGENHAM,16,549160,184830,2,2 Passenger,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70205,BARKING & DAGENHAM,16,549160,184830,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70207,BARKING & DAGENHAM,16,546240,183690,1,1 Driver/Rider,1 Male,16-24,16,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70208,BARKING & DAGENHAM,16,549930,185120,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70210,BARKING & DAGENHAM,16,548570,187950,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70213,BARKING & DAGENHAM,16,544410,184640,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70214,BARKING & DAGENHAM,16,547690,187430,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70215,BARKING & DAGENHAM,16,547650,183570,3,2 Passenger,2 Female,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70215,BARKING & DAGENHAM,16,547650,183570,2,2 Passenger,1 Male,60+,70,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114KG70215,BARKING & DAGENHAM,16,547650,183570,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70215,BARKING & DAGENHAM,16,547650,183570,4,2 Passenger,2 Female,60+,68,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114KG70216,BARKING & DAGENHAM,16,548460,189080,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70219,BARKING & DAGENHAM,16,544210,184810,3,2 Passenger,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70219,BARKING & DAGENHAM,16,544210,184810,2,2 Passenger,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70219,BARKING & DAGENHAM,16,544210,184810,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70220,BARKING & DAGENHAM,16,547570,184830,1,2 Passenger,1 Male,60+,88,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114KG70222,BARKING & DAGENHAM,16,548440,188460,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70223,BARKING & DAGENHAM,16,548020,187900,2,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70223,BARKING & DAGENHAM,16,548020,187900,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70224,BARKING & DAGENHAM,16,548810,185840,1,3 Pedestrian,1 Male,25-59,30,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0114KG70225,BARKING & DAGENHAM,16,548990,182750,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70226,BARKING & DAGENHAM,16,545390,183930,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70226,BARKING & DAGENHAM,16,545390,183930,2,2 Passenger,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70227,BARKING & DAGENHAM,16,545500,183930,1,2 Passenger,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70228,BARKING & DAGENHAM,16,548440,188490,2,3 Pedestrian,1 Male,0-15,13,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0114KG70228,BARKING & DAGENHAM,16,548440,188490,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114KG70229,BARKING & DAGENHAM,16,548300,188070,1,1 Driver/Rider,1 Male,60+,64,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70230,BARKING & DAGENHAM,16,546270,183640,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70231,BARKING & DAGENHAM,16,548110,185390,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114KG70232,BARKING & DAGENHAM,16,549060,184570,1,3 Pedestrian,1 Male,25-59,34,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0114KG70233,BARKING & DAGENHAM,16,548720,186850,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70234,BARKING & DAGENHAM,16,546540,183660,2,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70234,BARKING & DAGENHAM,16,546540,183660,3,1 Driver/Rider,2 Female,60+,69,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70234,BARKING & DAGENHAM,16,546540,183660,1,1 Driver/Rider,2 Female,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70235,BARKING & DAGENHAM,16,545280,185080,1,3 Pedestrian,1 Male,16-24,22,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114KG70236,BARKING & DAGENHAM,16,547750,185700,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70237,BARKING & DAGENHAM,16,549010,184540,1,2 Passenger,1 Male,60+,62,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114KG70238,BARKING & DAGENHAM,16,548440,188480,1,1 Driver/Rider,2 Female,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114KG70239,BARKING & DAGENHAM,16,543710,184040,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70239,BARKING & DAGENHAM,16,543710,184040,2,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70242,BARKING & DAGENHAM,16,547550,185400,1,1 Driver/Rider,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70244,BARKING & DAGENHAM,16,544580,183820,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70245,BARKING & DAGENHAM,16,548980,186710,1,1 Driver/Rider,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70245,BARKING & DAGENHAM,16,548980,186710,2,2 Passenger,1 Male,0-15,10,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70245,BARKING & DAGENHAM,16,548980,186710,3,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70246,BARKING & DAGENHAM,16,549060,184600,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0114KG70248,BARKING & DAGENHAM,16,546330,183650,1,2 Passenger,2 Female,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70249,BARKING & DAGENHAM,16,549070,184440,1,3 Pedestrian,2 Female,25-59,54,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0114KG70250,BARKING & DAGENHAM,16,546840,184740,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70250,BARKING & DAGENHAM,16,546840,184740,2,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114KG70251,BARKING & DAGENHAM,16,548740,187610,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114KG70252,BARKING & DAGENHAM,16,545360,183010,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
